	sourcehostcomb	clinical	environmental/other	total	epitype	OneHealth_host
540	IMV_Mus musculus_environmental/other	0	2	2	imv_mus-musculus_environmental/other	Environment
541	IMV_Mustela putorius furo_environmental/other	0	4	4	imv_mustela-putorius-furo_environmental/other	Environment
542	IMV_Nanger dama_environmental/other	0	1	1	imv_nanger-dama_environmental/other	Environment
543	IMV_Neovison vison_environmental/other	0	7	7	imv_neovison-vison_environmental/other	Environment
544	IMV_Non-Animal_environmental/other	0	5	5	imv_non-animal_environmental/other	Environment
545	IMV_Odocoileus virginianus_environmental/other	0	12	12	imv_odocoileus-virginianus_environmental/other	Environment
546	IMV_Okapia johnstoni_environmental/other	0	3	3	imv_okapia-johnstoni_environmental/other	Environment
547	IMV_Oryctolagus cuniculus_environmental/other	0	14	14	imv_oryctolagus-cuniculus_environmental/other	Environment
548	IMV_Otariinae_environmental/other	0	3	3	imv_otariinae_environmental/other	Environment
549	IMV_Ovis aries_environmental/other	0	17	17	imv_ovis-aries_environmental/other	Environment
550	IMV_Ovis orientalis arkal_environmental/other	0	1	1	imv_ovis-orientalis-arkal_environmental/other	Environment
551	IMV_Panthera leo (lion)_environmental/other	0	1	1	imv_panthera-leo-(lion)_environmental/other	Environment
552	IMV_Panthera pardus (leopard)_environmental/other	0	2	2	imv_panthera-pardus-(leopard)_environmental/other	Environment
553	IMV_Phasianus colchicus_environmental/other	0	3	3	imv_phasianus-colchicus_environmental/other	Environment
554	IMV_Polysticta stelleri_environmental/other	0	6	6	imv_polysticta-stelleri_environmental/other	Environment
555	IMV_Pongo (orangutan)_clinical	1	0	1	imv_pongo-(orangutan)_clinical	Homosapiens
556	IMV_Pongo (orangutan)_environmental/other	0	1	1	imv_pongo-(orangutan)_environmental/other	Environment
557	IMV_Porcine_environmental/other	0	89	89	imv_porcine_environmental/other	Swine
558	IMV_Primate_environmental/other	0	14	14	imv_primate_environmental/other	Environment
559	IMV_Psittaciformes_environmental/other	0	2	2	imv_psittaciformes_environmental/other	Environment
560	IMV_Puma concolor (cougar)_environmental/other	0	1	1	imv_puma-concolor-(cougar)_environmental/other	Environment
561	IMV_Pyrrhura molinae_environmental/other	0	2	2	imv_pyrrhura-molinae_environmental/other	Environment
562	IMV_Rat_environmental/other	0	6	6	imv_rat_environmental/other	Environment
563	IMV_Rattus norvegicus_environmental/other	0	1	1	imv_rattus-norvegicus_environmental/other	Environment
564	IMV_Rhesus Macaque_environmental/other	0	1	1	imv_rhesus-macaque_environmental/other	Swine
565	IMV_Rhesus macaque_environmental/other	0	10	10	imv_rhesus-macaque_environmental/other	Swine
566	IMV_Rusa unicolor_environmental/other	0	1	1	imv_rusa-unicolor_environmental/other	Environment
567	IMV_Somateria fischeri_environmental/other	0	5	5	imv_somateria-fischeri_environmental/other	Environment
568	IMV_Somateria mollissima_environmental/other	0	1	1	imv_somateria-mollissima_environmental/other	Environment
569	IMV_Sus scrofa domesticus_environmental/other	0	163	163	imv_sus-scrofa-domesticus_environmental/other	Swine
570	IMV_Sus scrofa_clinical	1	0	1	imv_sus-scrofa_clinical	Homosapiens
571	IMV_Trichechus_environmental/other	0	2	2	imv_trichechus_environmental/other	Environment
572	IMV_Vicugna pacos_environmental/other	0	4	4	imv_vicugna-pacos_environmental/other	Environment
573	IMV_calf_clinical	1	0	1	imv_calf_clinical	Homosapiens
574	IMV_cat_clinical	1	0	1	imv_cat_clinical	Homosapiens
575	IMV_cattle_environmental/other	0	45	45	imv_cattle_environmental/other	Ruminant
576	IMV_celebese ape_environmental/other	0	5	5	imv_celebese-ape_environmental/other	Environment
577	IMV_cougar_environmental/other	0	1	1	imv_cougar_environmental/other	Environment
578	IMV_cow_clinical	3	0	3	imv_cow_clinical	Homosapiens
579	IMV_cow_environmental/other	0	70	70	imv_cow_environmental/other	Ruminant
580	IMV_coyote_clinical	1	0	1	imv_coyote_clinical	Homosapiens
581	IMV_dog_environmental/other	0	2	2	imv_dog_environmental/other	Dog
582	IMV_elephant_environmental/other	0	1	1	imv_elephant_environmental/other	Environment
583	IMV_giraffe_environmental/other	0	3	3	imv_giraffe_environmental/other	Environment
584	IMV_gorilla_environmental/other	0	2	2	imv_gorilla_environmental/other	Environment
585	IMV_kangaroo rat_environmental/other	0	1	1	imv_kangaroo-rat_environmental/other	Environment
586	IMV_leopard_environmental/other	0	2	2	imv_leopard_environmental/other	Environment
587	IMV_lion_environmental/other	0	1	1	imv_lion_environmental/other	Environment
588	IMV_marmoset_environmental/other	0	1	1	imv_marmoset_environmental/other	Environment
589	IMV_mising_clinical	6	0	6	imv_mising_clinical	Homosapiens
590	IMV_mouse_environmental/other	0	5	5	imv_mouse_environmental/other	Environment
591	IMV_orangutan_environmental/other	0	2	2	imv_orangutan_environmental/other	Environment
592	IMV_pig_environmental/other	0	1	1	imv_pig_environmental/other	Swine
593	IMV_porcine_environmental/other	0	55	55	imv_porcine_environmental/other	Swine
594	IMV_rat_environmental/other	0	1	1	imv_rat_environmental/other	Environment
595	IMV_sheep_environmental/other	0	1	1	imv_sheep_environmental/other	Ruminant
596	IR drain fluid_Homo sapiens_clinical	1	0	1	ir-drain-fluid_homo-sapiens_clinical	Homosapiens
597	Ileum_Odocoileus virginianus_environmental/other	0	2	2	ileum_odocoileus-virginianus_environmental/other	Environment
598	Ileum_Sus scrofa_environmental/other	0	2	2	ileum_sus-scrofa_environmental/other	Swine
599	Incision (Canis lupus familiaris)_HMV_environmental/other	0	3	3	incision-(canis-lupus-familiaris)_hmv_environmental/other	Dog
600	Incision swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	incision-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
601	Incision(Canis lupus familiaris)_HMV_environmental/other	0	1	1	incision(canis-lupus-familiaris)_hmv_environmental/other	Dog
602	Infected wound swab (Equus caballus)_HMV_environmental/other	0	1	1	infected-wound-swab-(equus-caballus)_hmv_environmental/other	Horse
603	Intestine (Bos taurus)_HMV_environmental/other	0	11	11	intestine-(bos-taurus)_hmv_environmental/other	Ruminant
604	Intestine (Canis lupus familiaris)_HMV_environmental/other	0	6	6	intestine-(canis-lupus-familiaris)_hmv_environmental/other	Dog
605	Intestine (Capra aegagrus hircus)_HMV_environmental/other	0	1	1	intestine-(capra-aegagrus-hircus)_hmv_environmental/other	Environment
606	Intestine (Gallus gallus domesticus)_HMV_environmental/other	0	1	1	intestine-(gallus-gallus-domesticus)_hmv_environmental/other	Poultry
607	Intestine (Sus scrofa domesticus)_HMV_environmental/other	0	7	7	intestine-(sus-scrofa-domesticus)_hmv_environmental/other	Swine
608	Intestine-Large_Canis lupus familiaris_environmental/other	0	3	3	intestine-large_canis-lupus-familiaris_environmental/other	Dog
609	Intestine-Large_Dasypodidae_environmental/other	0	1	1	intestine-large_dasypodidae_environmental/other	Environment
610	Intestine-Large_Gallus gallus domesticus_environmental/other	0	1	1	intestine-large_gallus-gallus-domesticus_environmental/other	Poultry
611	Intestine-Large_Homo sapiens_clinical	1	0	1	intestine-large_homo-sapiens_clinical	Homosapiens
612	Intestine-Large_Pelecanus_environmental/other	0	1	1	intestine-large_pelecanus_environmental/other	Environment
613	Intestine-Large_Sirenia_environmental/other	0	1	1	intestine-large_sirenia_environmental/other	Environment
614	Intestine-Large_Sus scrofa_environmental/other	0	4	4	intestine-large_sus-scrofa_environmental/other	Swine
615	Intestine-Small_Bos taurus_environmental/other	0	2	2	intestine-small_bos-taurus_environmental/other	Ruminant
616	Intestine-Small_Odocoileus virginianus_environmental/other	0	1	1	intestine-small_odocoileus-virginianus_environmental/other	Environment
617	Intestine-Small_Sus scrofa_environmental/other	0	4	4	intestine-small_sus-scrofa_environmental/other	Swine
618	Isolate_HMV_clinical	12	0	12	isolate_hmv_clinical	Homosapiens
619	Italian Parsely, loose, organic_HMV_environmental/other	0	1	1	italian-parsely,-loose,-organic_hmv_environmental/other	plant_based_food
620	Jejunum_Canis lupus familiaris_environmental/other	0	1	1	jejunum_canis-lupus-familiaris_environmental/other	Dog
621	Jejunum_Equus caballus_environmental/other	0	1	1	jejunum_equus-caballus_environmental/other	Horse
622	Jejunum_Ovis aries_environmental/other	0	1	1	jejunum_ovis-aries_environmental/other	Environment
623	Jejunum_Sus scrofa_environmental/other	0	2	2	jejunum_sus-scrofa_environmental/other	Swine
624	Joint Cavity_Equus caballus_environmental/other	0	1	1	joint-cavity_equus-caballus_environmental/other	Horse
625	Joint Cavity_Gallus gallus domesticus_environmental/other	0	1	1	joint-cavity_gallus-gallus-domesticus_environmental/other	Poultry
626	Kidney (Canine)_HMV_environmental/other	0	1	1	kidney-(canine)_hmv_environmental/other	Dog
627	King Eider_HMV_environmental/other	0	4	4	king-eider_hmv_environmental/other	Environment
628	Lab generated_HMV_environmental/other	0	2	2	lab-generated_hmv_environmental/other	Environment
629	Laboratory_HMV_environmental/other	0	1	1	laboratory_hmv_environmental/other	Environment
630	Lairage swab_HMV_environmental/other	0	11	11	lairage-swab_hmv_environmental/other	Environment
631	Leafy Greens_HMV_environmental/other	0	1	1	leafy-greens_hmv_environmental/other	plant_based_food
632	Leopard_HMV_environmental/other	0	1	1	leopard_hmv_environmental/other	Environment
633	Lettuce, Romaine_HMV_environmental/other	0	1	1	lettuce,-romaine_hmv_environmental/other	plant_based_food
634	Lettuce-Romaine_HMV_environmental/other	0	2	2	lettuce-romaine_hmv_environmental/other	plant_based_food
635	Lip (Canis lupus familiaris)_HMV_environmental/other	0	1	1	lip-(canis-lupus-familiaris)_hmv_environmental/other	Dog
636	Litter_HMV_environmental/other	0	2	2	litter_hmv_environmental/other	Environment
637	Liver (Canis lupus familiaris )_HMV_environmental/other	0	1	1	liver-(canis-lupus-familiaris-)_hmv_environmental/other	Dog
638	Liver (Canis lupus familiaris)_HMV_environmental/other	0	2	2	liver-(canis-lupus-familiaris)_hmv_environmental/other	Dog
639	Lung (Canis lupus familaris)_HMV_environmental/other	0	2	2	lung-(canis-lupus-familaris)_hmv_environmental/other	Dog
640	Lung (Canis lupus familiaris)_HMV_environmental/other	0	18	18	lung-(canis-lupus-familiaris)_hmv_environmental/other	Dog
641	Lung (Procyon lotor)_HMV_environmental/other	0	1	1	lung-(procyon-lotor)_hmv_environmental/other	Environment
642	Lung biopsy(Canis lupus familiaris)_HMV_environmental/other	0	1	1	lung-biopsy(canis-lupus-familiaris)_hmv_environmental/other	Dog
643	Lungs and intestine (Felis catus)_HMV_environmental/other	0	1	1	lungs-and-intestine-(felis-catus)_hmv_environmental/other	Environment
644	Lymphnode Draining Tract (Canis lupus familiaris)_HMV_environmental/other	0	1	1	lymphnode-draining-tract-(canis-lupus-familiaris)_hmv_environmental/other	Dog
645	Mandible Swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	mandible-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
646	Manure Pile near Chicken Houses_HMV_environmental/other	0	2	2	manure-pile-near-chicken-houses_hmv_environmental/other	Poultry
647	Manure/Bedding_HMV_environmental/other	0	1	1	manure/bedding_hmv_environmental/other	Environment
648	Marmoset; Rectum_HMV_environmental/other	0	1	1	marmoset;-rectum_hmv_environmental/other	Environment
649	Marmoset_HMV_environmental/other	0	2	2	marmoset_hmv_environmental/other	Environment
650	Meat Trim_Bos taurus_environmental/other	0	8	8	meat-trim_bos-taurus_environmental/other	Meat/Meatproduct
651	Milk (Canis lupus familiaris)_HMV_environmental/other	0	1	1	milk-(canis-lupus-familiaris)_hmv_environmental/other	Dairy
652	Milk, Raw_HMV_environmental/other	0	1	1	milk,-raw_hmv_environmental/other	Dairy
653	Mink; Lung_HMV_environmental/other	0	1	1	mink;-lung_hmv_environmental/other	Environment
654	Mix of beef trim from USA and Australia_HMV_environmental/other	0	1	1	mix-of-beef-trim-from-usa-and-australia_hmv_environmental/other	Ruminant
655	Mix of beef trim from USA and Uruguay_HMV_environmental/other	0	1	1	mix-of-beef-trim-from-usa-and-uruguay_hmv_environmental/other	Ruminant
656	Mix of ground beef from USA and Australia_HMV_environmental/other	0	1	1	mix-of-ground-beef-from-usa-and-australia_hmv_environmental/other	Meat/Meatproduct
657	Mixed Parts_HMV_environmental/other	0	9	9	mixed-parts_hmv_environmental/other	Environment
658	Monkey,Titi; Intestine_HMV_environmental/other	0	1	1	monkey,titi;-intestine_hmv_environmental/other	Environment
659	Mouse deer_HMV_environmental/other	0	6	6	mouse-deer_hmv_environmental/other	Environment
660	Mouse stool_Mus musculus_clinical	2	0	2	mouse-stool_mus-musculus_clinical	Homosapiens
661	Mouse; Blood_HMV_environmental/other	0	1	1	mouse;-blood_hmv_environmental/other	Environment
662	Mouse; Cecum_HMV_environmental/other	0	2	2	mouse;-cecum_hmv_environmental/other	Environment
663	Mouse; Intestine_HMV_environmental/other	0	1	1	mouse;-intestine_hmv_environmental/other	Environment
664	Mouse_HMV_environmental/other	0	2	2	mouse_hmv_environmental/other	Environment
665	Nasal (Canis lupus familiaris)_HMV_environmental/other	0	1	1	nasal-(canis-lupus-familiaris)_hmv_environmental/other	Dog
666	Nasal Swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	nasal-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
667	Nasal Wash_Canis lupus familiaris_environmental/other	0	1	1	nasal--ash_canis-lupus-familiaris_environmental/other	Dog
668	Nasal discharge (Felis catus domesticus)_HMV_environmental/other	0	1	1	nasal-discharge-(felis-catus-domesticus)_hmv_environmental/other	Environment
669	Neck (Canis lupus familiaris)_HMV_environmental/other	0	1	1	neck-(canis-lupus-familiaris)_hmv_environmental/other	Dog
670	Nonhuman primates; Feces_HMV_environmental/other	0	2	2	nonhuman-primates;-feces_hmv_environmental/other	Environment
671	Nose (Canis lupus familiaris)_HMV_environmental/other	0	2	2	nose-(canis-lupus-familiaris)_hmv_environmental/other	Dog
672	Not Provided_Homo sapiens_clinical	1	0	1	not-provided_homo-sapiens_clinical	Homosapiens
673	OSSAU IRATY CHEESE_HMV_environmental/other	0	1	1	ossau-iraty-cheese_hmv_environmental/other	Dairy
674	Ostrich_HMV_environmental/other	0	1	1	ostrich_hmv_environmental/other	Environment
675	Other (Canis lupus familaris)_HMV_environmental/other	0	1	1	other-(canis-lupus-familaris)_hmv_environmental/other	Dog
676	Other (Canis lupus familiaris)_HMV_environmental/other	0	5	5	other-(canis-lupus-familiaris)_hmv_environmental/other	Dog
677	Other (Canis)_HMV_environmental/other	0	2	2	other-(canis)_hmv_environmental/other	Environment
678	Other - List in comments (Canis lupus)_HMV_environmental/other	0	2	2	other---list-in-comments-(canis-lupus)_hmv_environmental/other	Environment
679	Oviduct (Galliformes)_HMV_environmental/other	0	2	2	oviduct-(galliformes)_hmv_environmental/other	Environment
680	Oyster_HMV_environmental/other	0	1	1	oyster_hmv_environmental/other	Environment
681	PLEURAL FLUID_Homo sapiens_clinical	1	0	1	pleural-fluid_homo-sapiens_clinical	Homosapiens
682	PORK CHOPS_HMV_environmental/other	0	2	2	pork-chops_hmv_environmental/other	Environment
683	PORK CHOP_HMV_environmental/other	0	7	7	pork-chop_hmv_environmental/other	Environment
684	Panda_HMV_environmental/other	0	1	1	panda_hmv_environmental/other	Environment
685	Pea Protein Pellets_HMV_environmental/other	0	1	1	pea-protein-pellets_hmv_environmental/other	Environment
686	Penguin_HMV_environmental/other	0	1	1	penguin_hmv_environmental/other	Environment
687	Peri-rectal_Homo sapiens_clinical	5	0	5	peri-rectal_homo-sapiens_clinical	Homosapiens
688	Perirectal_Homo sapiens_clinical	5	0	5	perirectal_homo-sapiens_clinical	Homosapiens
689	Peritoneal Fluid(Canis lupus familiaris)_HMV_environmental/other	0	1	1	peritoneal-fluid(canis-lupus-familiaris)_hmv_environmental/other	Dog
690	Peritoneal Swab (Gallus gallus domesticus)_HMV_environmental/other	0	1	1	peritoneal-swab-(gallus-gallus-domesticus)_hmv_environmental/other	Poultry
691	Peritoneal fluid_Homo sapiens_clinical	3	0	3	peritoneal-fluid_homo-sapiens_clinical	Homosapiens
692	Peritoneum (Canis lupus familiaris)_HMV_environmental/other	0	1	1	peritoneum-(canis-lupus-familiaris)_hmv_environmental/other	Dog
693	Pig, (Porcine); Colon_HMV_environmental/other	0	1	1	pig,-(porcine);-colon_hmv_environmental/other	Swine
694	Pig, (Porcine); Ileum_HMV_environmental/other	0	2	2	pig,-(porcine);-ileum_hmv_environmental/other	Swine
695	Pig, (Porcine); Intestine_HMV_environmental/other	0	1	1	pig,-(porcine);-intestine_hmv_environmental/other	Swine
696	Pig, (Porcine)_HMV_environmental/other	0	405	405	pig,-(porcine)_hmv_environmental/other	Swine
697	Pigeon, (Avian)_HMV_environmental/other	0	1	1	pigeon,-(avian)_hmv_environmental/other	Swine
698	Pigeon; Cloacae_HMV_environmental/other	0	1	1	pigeon;-cloacae_hmv_environmental/other	Swine
699	Pigeon_HMV_environmental/other	0	1	1	pigeon_hmv_environmental/other	Swine
700	Placenta (Bos taurus)_HMV_environmental/other	0	1	1	placenta-(bos-taurus)_hmv_environmental/other	Ruminant
701	Plant protein_HMV_environmental/other	0	1	1	plant-protein_hmv_environmental/other	Environment
702	Pleural Cavity_Bos taurus_environmental/other	0	1	1	pleural-cavity_bos-taurus_environmental/other	Ruminant
703	Pleural Cavity_Sus scrofa_environmental/other	0	2	2	pleural-cavity_sus-scrofa_environmental/other	Swine
704	Pooled tissue (Ovis aries)_HMV_environmental/other	0	1	1	pooled-tissue-(ovis-aries)_hmv_environmental/other	Environment
705	Pooled: Liver, Peritoneum, Abscess_horse_environmental/other	0	1	1	pooled:-liver,-peritoneum,-abscess_horse_environmental/other	Horse
706	Pooper Scooper (backyard)_HMV_environmental/other	0	1	1	pooper-scooper-(backyard)_hmv_environmental/other	Environment
707	Porcine blood (Sus domesticus)_HMV_environmental/other	0	1	1	porcine-blood-(sus-domesticus)_hmv_environmental/other	Swine
708	Porcine feces (Sus domesticus)_HMV_environmental/other	0	41	41	porcine-feces-(sus-domesticus)_hmv_environmental/other	Swine
709	Porcine intestine (Sus domesticus)_HMV_environmental/other	0	4	4	porcine-intestine-(sus-domesticus)_hmv_environmental/other	Swine
710	Porcine small intestine (Sus domesticus)_HMV_environmental/other	0	2	2	porcine-small-intestine-(sus-domesticus)_hmv_environmental/other	Swine
711	Porcine stomach (Sus domesticus)_HMV_environmental/other	0	2	2	porcine-stomach-(sus-domesticus)_hmv_environmental/other	Swine
712	Pork Chop (Bone In)_HMV_environmental/other	0	7	7	pork-chop-(bone-in)_hmv_environmental/other	Environment
713	Pork Chop (Ground)_HMV_environmental/other	0	2	2	pork-chop-(ground)_hmv_environmental/other	Meat/Meatproduct
714	Pork Chop (Sus domesticus)_HMV_environmental/other	0	2	2	pork-chop-(sus-domesticus)_hmv_environmental/other	Swine
715	Pork Chop (bone in)_HMV_environmental/other	0	3	3	pork-chop-(bone-in)_hmv_environmental/other	Environment
716	Pork Chop (bone-in)_HMV_environmental/other	0	34	34	pork-chop-(bone-in)_hmv_environmental/other	Environment
717	Pork Chop - bone in_HMV_environmental/other	0	6	6	pork-chop---bone-in_hmv_environmental/other	Environment
718	Pork Chop_HMV_environmental/other	0	214	214	pork-chop_hmv_environmental/other	Environment
719	Pork Chops (bone in)_HMV_environmental/other	0	1	1	pork-chops-(bone-in)_hmv_environmental/other	Environment
720	Pork Chops bone-in_HMV_environmental/other	0	45	45	pork-chops-bone-in_hmv_environmental/other	Environment
721	Pork Chops_HMV_environmental/other	0	123	123	pork-chops_hmv_environmental/other	Environment
722	Pork chop (bone in)_HMV_environmental/other	0	1	1	pork-chop-(bone-in)_hmv_environmental/other	Environment
723	Pork chop_HMV_environmental/other	0	2	2	pork-chop_hmv_environmental/other	Environment
724	Pork chops_HMV_environmental/other	0	6	6	pork-chops_hmv_environmental/other	Environment
725	Pork_HMV_environmental/other	0	26	26	pork_hmv_environmental/other	Environment
726	Poultry Air_HMV_environmental/other	0	6	6	poultry-air_hmv_environmental/other	Environment
727	Poultry Fecal_HMV_environmental/other	0	1	1	poultry-fecal_hmv_environmental/other	Environment
728	Poultry House 1 Fly Trap - Inside Front_HMV_environmental/other	0	1	1	poultry-house-1-fly-trap---inside-front_hmv_environmental/other	Environment
729	Poultry House 3 Fly Trap - Outside Back_HMV_environmental/other	0	1	1	poultry-house-3-fly-trap---outside-back_hmv_environmental/other	Environment
730	Poultry Litter_Meleagris_environmental/other	0	1	1	poultry-litter_meleagris_environmental/other	Poultry
731	Poultry Soil_HMV_environmental/other	0	16	16	poultry-soil_hmv_environmental/other	Environment
732	Primate; Feces_HMV_environmental/other	0	1	1	primate;-feces_hmv_environmental/other	Environment
733	Primate_HMV_environmental/other	0	1	1	primate_hmv_environmental/other	Environment
734	Produce near Bovine_HMV_environmental/other	0	7	7	produce-near-bovine_hmv_environmental/other	Ruminant
735	Produce near Cattle_HMV_environmental/other	0	16	16	produce-near-cattle_hmv_environmental/other	Ruminant
736	Produce source_HMV_environmental/other	0	2	2	produce-source_hmv_environmental/other	Environment
737	Product-Other/Miscellaneous-Beef_HMV_environmental/other	0	1	1	product-other/miscellaneous-beef_hmv_environmental/other	Meat/Meatproduct
738	Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork_HMV_environmental/other	0	18	18	product-raw-ground,-comminuted-or-otherwise-nonintact-pork_hmv_environmental/other	Meat/Meatproduct
739	Product-Raw-Intact-Pork_HMV_environmental/other	0	15	15	product-raw-intact-pork_hmv_environmental/other	Meat/Meatproduct
740	Product-Raw-Intact-Siluriformes, Ictaluridae (Catfish)_HMV_environmental/other	0	45	45	product-raw-intact-siluriformes,-ictaluridae-(catfish)_hmv_environmental/other	Meat/Meatproduct
741	Product-Raw-Intact-Siluriformes, Other_HMV_environmental/other	0	3	3	product-raw-intact-siluriformes,-other_hmv_environmental/other	Meat/Meatproduct
742	Product-Raw-Intact-Siluriformes_HMV_environmental/other	0	38	38	product-raw-intact-siluriformes_hmv_environmental/other	Meat/Meatproduct
743	ROMAINE LETTUCE_HMV_environmental/other	0	5	5	romaine-lettuce_hmv_environmental/other	plant_based_food
744	Rabbit, Wild (Lampine)_HMV_environmental/other	0	3	3	rabbit,--ild-(lampine)_hmv_environmental/other	Environment
745	Raccoon_HMV_environmental/other	0	1	1	raccoon_hmv_environmental/other	Environment
746	Rat feces from intestine (Rattus norvegicus)_HMV_environmental/other	0	41	41	rat-feces-from-intestine-(rattus-norvegicus)_hmv_environmental/other	Environment
747	Raw Beef_HMV_environmental/other	0	2	2	raw-beef_hmv_environmental/other	Ruminant
748	Raw Ground Beef_HMV_environmental/other	0	1	1	raw-ground-beef_hmv_environmental/other	Meat/Meatproduct
749	Raw Milk_HMV_environmental/other	0	1	1	raw-milk_hmv_environmental/other	Dairy
750	Raw Product_HMV_environmental/other	0	1	1	raw-product_hmv_environmental/other	Meat/Meatproduct
751	Raw Romaine_HMV_environmental/other	0	2	2	raw-romaine_hmv_environmental/other	plant_based_food
752	Reclaimed Distribution System_HMV_environmental/other	0	14	14	reclaimed-distribution-system_hmv_environmental/other	Environment
753	Rectal Specimen_HMV_clinical	1	0	1	rectal-specimen_hmv_clinical	Homosapiens
754	Rectal Swab_HMV_clinical	4	0	4	rectal-swab_hmv_clinical	Homosapiens
755	Rectal Swab_Homo sapiens_clinical	8	0	8	rectal-swab_homo-sapiens_clinical	Homosapiens
756	Rectal abscess_Homo sapiens_clinical	1	0	1	rectal-abscess_homo-sapiens_clinical	Homosapiens
757	Rectal fecal grab samples from a commercial feedlot_cattle_environmental/other	0	1	1	rectal-fecal-grab-samples-from-a-commercial-feedlot_cattle_environmental/other	Meat/Meatproduct
758	Rectal swab (Canis lupus familiaris)_HMV_environmental/other	0	19	19	rectal-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
759	Rectal swab (Felis catus)_HMV_environmental/other	0	4	4	rectal-swab-(felis-catus)_hmv_environmental/other	Environment
760	Rectal swab_HMV_clinical	14	0	14	rectal-swab_hmv_clinical	Homosapiens
761	Rectal swab_Homo sapiens_clinical	61	0	61	rectal-swab_homo-sapiens_clinical	Homosapiens
762	Rectal wound_HMV_clinical	1	0	1	rectal-wound_hmv_clinical	Homosapiens
763	Rectal_HMV_clinical	1	0	1	rectal_hmv_clinical	Homosapiens
764	Rectal_Homo sapiens_clinical	15	0	15	rectal_homo-sapiens_clinical	Homosapiens
765	Rectoanal mucosal swab_Cattle_environmental/other	0	14	14	rectoanal-mucosal-swab_cattle_environmental/other	Ruminant
766	Rectum (Canis lupus familiaris)_HMV_environmental/other	0	2	2	rectum-(canis-lupus-familiaris)_hmv_environmental/other	Dog
767	Rectum_Canis lupus familiaris_environmental/other	0	1	1	rectum_canis-lupus-familiaris_environmental/other	Dog
768	Rectum_Phocidae_environmental/other	0	1	1	rectum_phocidae_environmental/other	Environment
769	Rectum_Sus scrofa_environmental/other	0	1	1	rectum_sus-scrofa_environmental/other	Swine
770	Red Clover Sprouts_HMV_environmental/other	0	2	2	red-clover-sprouts_hmv_environmental/other	plant_based_food
771	Red Leaf_HMV_environmental/other	0	1	1	red-leaf_hmv_environmental/other	plant_based_food
772	Red Romaine Baby Head Lettuce_HMV_environmental/other	0	1	1	red-romaine-baby-head-lettuce_hmv_environmental/other	plant_based_food
773	Renal calculi_Homo sapiens_clinical	1	0	1	renal-calculi_homo-sapiens_clinical	Homosapiens
774	Retail Poultry_HMV_environmental/other	0	56	56	retail-poultry_hmv_environmental/other	Environment
775	Retail chicken skin_HMV_environmental/other	0	2	2	retail-chicken-skin_hmv_environmental/other	Poultry
776	Retail raw whole goat milk_HMV_environmental/other	0	3	3	retail-raw-whole-goat-milk_hmv_environmental/other	Dairy
777	Rhesus Macaque_HMV_environmental/other	0	1	1	rhesus-macaque_hmv_environmental/other	Swine
778	Rhinoceros_HMV_environmental/other	0	1	1	rhinoceros_hmv_environmental/other	Environment
779	River_HMV_environmental/other	0	1	1	river_hmv_environmental/other	Environment
780	Rodent; Feces_HMV_environmental/other	0	4	4	rodent;-feces_hmv_environmental/other	Environment
781	Romaine Hearts_HMV_environmental/other	0	1	1	romaine-hearts_hmv_environmental/other	plant_based_food
782	Romaine Lettuce_HMV_environmental/other	0	15	15	romaine-lettuce_hmv_environmental/other	plant_based_food
783	Romaine lettuce_HMV_environmental/other	0	1	1	romaine-lettuce_hmv_environmental/other	plant_based_food
784	Romaine_HMV_environmental/other	0	1	1	romaine_hmv_environmental/other	plant_based_food
785	Roquefort Cheese_HMV_environmental/other	0	1	1	roquefort-cheese_hmv_environmental/other	Dairy
786	Roquefort cheese_HMV_environmental/other	0	1	1	roquefort-cheese_hmv_environmental/other	Dairy
787	Rug_HMV_environmental/other	0	1	1	rug_hmv_environmental/other	Environment
788	Scat/droppings from dry river bed_HMV_environmental/other	0	1	1	scat/droppings-from-dry-river-bed_hmv_environmental/other	Environment
789	Sea Lion_HMV_environmental/other	0	2	2	sea-lion_hmv_environmental/other	Environment
790	Sediment_HMV_environmental/other	0	4	4	sediment_hmv_environmental/other	Environment
791	Sheep Lairage swab_HMV_environmental/other	0	2	2	sheep-lairage-swab_hmv_environmental/other	Ruminant
792	Sheep cecal content_HMV_environmental/other	0	8	8	sheep-cecal-content_hmv_environmental/other	Ruminant
793	Sheep, (Ovine); Intestine-Small_HMV_environmental/other	0	1	1	sheep,-(ovine);-intestine-small_hmv_environmental/other	Ruminant
794	Sheep, (Ovine); Lung_HMV_environmental/other	0	1	1	sheep,-(ovine);-lung_hmv_environmental/other	Ruminant
795	Sheep, (Ovine)_HMV_environmental/other	0	3	3	sheep,-(ovine)_hmv_environmental/other	Ruminant
796	Shoes_HMV_environmental/other	0	1	1	shoes_hmv_environmental/other	Environment
797	Shredded Romaine Lettuce_HMV_environmental/other	0	1	1	shredded-romaine-lettuce_hmv_environmental/other	plant_based_food
